benchmark,variant,mean_kendall_tau_b,close_flips,close_pairs,cross_flips,cross_pairs,representatives,n_families,family_shift_range_points,close_flip_rate,all_cross_family_flip_rate,random_ci_low,random_median,random_ci_high,random_replicates,one_sided_randomization_p,excess_close_flip_rate,positive_excess,significant_positive_excess
MMLU,omit_llama,0.8619659517549096,266,534,1307,14912,352,4,4.700393572210446,0.49812734082397003,0.0876475321888412,0.11793071161048689,0.15730337078651685,0.20978464419475656,200,0.004975124378109453,0.3408239700374532,True,True
MMLU,omit_mistral,0.958607991968294,237,564,463,19014,428,4,2.3437024571586207,0.42021276595744683,0.02435047859471968,0.13451327433628318,0.16740412979351033,0.20712389380530977,200,0.004975124378109453,0.2528086361639365,True,True
MMLU,omit_phi,0.9103445588957046,1319,3016,3159,60459,639,4,4.473349281350936,0.4373342175066313,0.05225028531732248,0.1422330901856764,0.16495358090185674,0.1973640583554377,200,0.004975124378109453,0.2723806366047746,True,True
MMLU,omit_qwen,0.9149230387843574,1265,2992,2869,62303,645,4,4.336357815252818,0.4227941176470588,0.046049146911063675,0.13900401069518717,0.16310160427807485,0.20588235294117646,200,0.004975124378109453,0.25969251336898397,True,True
HellaSwag,owner_cap_1,0.9525680346299793,1403,4660,1660,71274,673,5,3.500299048922641,0.30107296137339057,0.023290400426522997,0.09850237253661058,0.11511639363433035,0.12947943681659446,200,0.004975124378109453,0.18595656773906022,True,True
HellaSwag,owner_cap_3,0.954710542955803,1464,4664,1670,71278,673,5,2.997224252863966,0.313893653516295,0.023429389152333117,0.10026301509049641,0.11421836625287894,0.13035299484676038,200,0.004975124378109453,0.19967528726341605,True,True
HellaSwag,owner_cap_5_baseline,0.9483255040602058,1402,4533,1752,71283,673,5,3.291206081619607,0.30928744760644167,0.024578090147721054,0.09794286344584162,0.11409025847827159,0.13261253309797,1000,0.000999000999000999,0.19519718912817008,True,True
HellaSwag,lexicographic_checkpoint,0.9453079540286147,1406,4575,1860,71279,673,5,3.652477417288958,0.3073224043715847,0.026094642180726442,0.09963387978142077,0.11453544546050497,0.13488598779989533,200,0.004975124378109453,0.19278695891107972,True,True
HellaSwag,strict_lineage,0.9525373981062033,1033,3553,1245,51259,573,5,2.7264531727051393,0.29074021953278917,0.024288417643730856,0.09594052025925899,0.11139240506329114,0.13249741777850596,200,0.004975124378109453,0.17934781446949805,True,True
HellaSwag,omit_gemma,0.9448908791356924,1330,3790,1733,57191,628,4,3.575224095385711,0.35092348284960423,0.030301970589778113,0.10055357265964314,0.11744523621008182,0.13707146828512765,200,0.004975124378109453,0.2334782466395224,True,True
HellaSwag,omit_llama,0.9231747674657049,305,700,654,14916,352,4,3.8196298763468124,0.4357142857142857,0.04384553499597747,0.08853571428571429,0.12,0.15296428571428575,200,0.004975124378109453,0.3157142857142857,True,True
HellaSwag,omit_mistral,0.9673565948326204,303,1395,332,18995,428,4,1.7584644114841792,0.2172043010752688,0.017478283758883918,0.09523807139702786,0.1174785100286533,0.1462034383954155,200,0.004975124378109453,0.09972579104661551,True,True
HellaSwag,omit_phi,0.9457951762493066,1396,3768,1743,60463,639,4,3.721593120557017,0.37048832271762205,0.02882754742569836,0.0982468254023079,0.11372085002045737,0.13379113588110403,200,0.004975124378109453,0.2567674726971647,True,True
HellaSwag,omit_qwen,0.9364902422303418,1675,4267,2383,62339,645,4,2.4235727757074743,0.3925474572299039,0.038226471390301414,0.0981383093455291,0.11574508601670097,0.13469354362962355,200,0.004975124378109453,0.27680237121320295,True,True
WinoGrande,owner_cap_1,0.9081259359894145,1959,5843,2773,70939,673,5,1.6786798890116357,0.3352729762108506,0.0390899223276336,0.3169261033185084,0.3468640839538851,0.38471938775510206,200,0.7412935323383084,-0.011591107743034512,False,False
WinoGrande,owner_cap_3,0.9057256191835876,1923,5668,3007,70939,673,5,2.0911975135470158,0.339273112208892,0.04238853099141516,0.3212054635490316,0.34706286168547285,0.3888118248784022,200,0.6716417910447762,-0.007789749476580843,False,False
WinoGrande,owner_cap_5_baseline,0.8996437802132831,1885,5574,3011,70932,673,5,2.757610058170397,0.3381772515249372,0.04244910618620651,0.31596133217066585,0.34692599851855355,0.393323636154018,1000,0.6893106893106893,-0.00874874699361633,False,False
WinoGrande,lexicographic_checkpoint,0.905287652853588,2100,5861,3189,70947,673,5,1.3854983154533196,0.35830063129158846,0.04494904647130957,0.31838010142636297,0.3446914340401315,0.38484417667915166,200,0.23880597014925373,0.013609197251456984,True,False
WinoGrande,strict_lineage,0.9009675503773731,1494,4257,2253,50988,573,5,1.6121988789201704,0.35095137420718814,0.04418686749823488,0.3166847204114153,0.3503357113605,0.39808845956229505,200,0.47761194029850745,0.0006156628466881253,True,False
WinoGrande,omit_gemma,0.8913846352785695,1740,4728,2920,56848,628,4,2.981858320174925,0.3680203045685279,0.05136504362510554,0.31453013879888725,0.3476605508370937,0.4057361305596091,200,0.19900497512437812,0.020359753731434227,True,False
WinoGrande,omit_llama,0.9018316040164476,254,747,434,14871,352,4,1.6241118614271546,0.34002677376171353,0.029184318472194205,0.31724958344014353,0.3552022765998559,0.4179924122334242,200,0.7562189054726368,-0.015175502838142396,False,False
WinoGrande,omit_mistral,0.8644207449040664,654,1529,1500,18906,428,4,4.021441644947947,0.4277305428384565,0.07933989209774675,0.3144882997198771,0.3642015125174374,0.40894118257163603,200,0.004975124378109453,0.06352903032101914,True,True
WinoGrande,omit_phi,0.9021835671021042,1680,4485,2645,60142,639,4,1.25690831624039,0.3745819397993311,0.04397924911043863,0.309199482276859,0.3401911229055883,0.4017929179185929,200,0.0945273631840796,0.03439081689374279,True,False
WinoGrande,omit_qwen,0.9054177638597221,1822,5451,2583,61971,645,4,1.48767453350071,0.3342505962208769,0.041680786174178246,0.3146346418680081,0.3463969337273093,0.38830403743020553,200,0.7611940298507462,-0.012146337506432403,False,False
