benchmark,cross_family_pairs,cross_family_low_dif_rate,cross_family_random_median,cross_family_excess_points,cross_family_p,same_family_pairs,same_family_low_dif_rate,same_family_random_median,same_family_excess_points,same_family_p,observed_cross_minus_same_points,random_cross_minus_same_median_points,specificity_excess_points,specificity_p,replicates
MMLU-Pro,308,0.4707792207792208,0.18506493506493507,28.57142857142857,0.000999000999000999,256,0.26953125,0.1640625,10.546875,0.000999000999000999,20.12479707792208,2.1053165584415585,18.01948051948052,0.000999000999000999,1000
BBH,2226,0.42138364779874216,0.252470799640611,16.89128481581312,0.000999000999000999,1631,0.33169834457388103,0.2299202942979767,10.177805027590434,0.000999000999000999,8.968530322486112,2.264401590257935,6.7041287322281775,0.000999000999000999,1000
MMLU,3235,0.40680061823802166,0.16321483771251932,24.358578052550232,0.000999000999000999,4523,0.24099049303559583,0.13783573612265282,10.315475691294301,0.000999000999000999,16.581012520242584,2.63716985283366,13.943842667408923,0.000999000999000999,1000
HellaSwag,4533,0.30928744760644167,0.11409025847827159,19.51971891281701,0.000999000999000999,5199,0.20427005193306405,0.1019524872372754,10.231756469578865,0.000999000999000999,10.501739567337761,1.1661219854222409,9.33561758191552,0.000999000999000999,1000
WinoGrande,5574,0.3381772515249372,0.34692599851855355,-0.874874699361633,0.6893106893106893,5409,0.3091144388981327,0.3173796532138519,-0.8265214315719194,0.7232767232767233,2.906281262680449,2.860781611463775,0.045499651216673875,0.4955044955044955,1000
