benchmark,K,reversal_percent,random_percent,excess_pp,p,spectral_excess_pp,tau
MMLU-Pro,32/32,41.55844155844156,18.5064935064935,23.051948051948063,0.0009990009990009,28.57142857142858,0.949686378241978
BBH,128/128,32.74932614555256,25.202156334231802,7.547169811320758,0.0009990009990009,16.891284815813112,0.9534535690507008
MMLU,64/64,25.62596599690881,16.38330757341576,9.242658423493053,0.0009990009990009,24.358578052550232,0.9690582063772184
HellaSwag,16/16,23.4333627537511,11.45063444712298,11.98272830662812,0.0009990009990009,19.519718912817012,0.9643973008623228
WinoGrande,16/16,37.45298226759807,34.75598816959508,2.6969940980029863,0.0869130869130869,-0.8748746993616274,0.8963465534732429
