benchmark,items,sources,families,raw_magnitude_spearman,magnitude_within_cell_spearman,magnitude_within_cell_permutation_p,raw_median_family_spearman,median_family_within_cell_spearman,min_family_within_cell_spearman,max_family_within_cell_spearman,family_within_cell_permutation_p,top20_discovery_items,top20_stable_items,top20_overlap_precision,top20_overlap_permutation_p,stable_top20_advantaged_family_agreement,advantaged_family_agreement_permutation_p,gemma_raw_spearman,gemma_within_cell_spearman,llama_raw_spearman,llama_within_cell_spearman,mistral_raw_spearman,mistral_within_cell_spearman,phi_raw_spearman,phi_within_cell_spearman,qwen_raw_spearman,qwen_within_cell_spearman,passes_family_effect_gate,passes_top20_overlap_gate,passes_advantage_agreement_gate,passes_all_stability_gates
MMLU-Pro,12032,91,5,0.35202749095621233,0.2363962880796437,0.001996007984031936,0.4133104431505498,0.4066544908419262,0.22532487599640733,0.5024897921319851,0.001996007984031936,2399,755,0.31471446436015005,0.001996007984031936,0.5642384105960265,0.001996007984031936,0.31814638856754485,0.3059958935746627,0.5657613194942203,0.4870417244950894,0.24334057916130614,0.22532487599640733,0.627489858657241,0.5024897921319851,0.4133104431505498,0.4066544908419262,True,True,True,True
BBH,5761,24,5,0.4287949084312144,0.3776936439059663,0.001996007984031936,0.6419687841990765,0.5893881592472561,0.5583265242200285,0.7562948925533505,0.001996007984031936,1150,415,0.36086956521739133,0.001996007984031936,0.7253012048192771,0.001996007984031936,0.6089524390801414,0.5836538182445792,0.7897937210613809,0.7562948925533505,0.6007469077644605,0.5583265242200285,0.6756258215526346,0.5913939228291798,0.6419687841990765,0.5893881592472561,True,True,True,True
MMLU,14042,57,5,0.3791148577682429,0.354357669106561,0.001996007984031936,0.5520139072057185,0.5010002199179002,0.3735246036029309,0.740580696943393,0.001996007984031936,2812,1084,0.38549075391180654,0.001996007984031936,0.7186346863468634,0.001996007984031936,0.5520139072057185,0.5010002199179002,0.6864825667629344,0.625097509599599,0.7869364659457752,0.740580696943393,0.4268716937501153,0.46026662923028216,0.3709159802162927,0.3735246036029309,True,True,True,True
HellaSwag,10042,1,5,0.5740252070346978,0.43577622741996475,0.001996007984031936,0.37090753677301086,0.30838933372472643,0.24761218110193522,0.49954981912004265,0.001996007984031936,2008,751,0.374003984063745,0.001996007984031936,0.4434087882822903,0.001996007984031936,0.38677767305274424,0.3887816594058939,0.2408101016622351,0.24761218110193522,0.5536121382660405,0.49954981912004265,0.37090753677301086,0.29273669181837125,0.3361143689025218,0.30838933372472643,True,True,True,True
WinoGrande,1267,1,5,0.34089314295338413,0.2879739013468145,0.001996007984031936,0.45381328442724916,0.46542962604094634,0.32549279209953796,0.5578278430670615,0.001996007984031936,252,97,0.38492063492063494,0.001996007984031936,0.6597938144329897,0.001996007984031936,0.5661138319857608,0.5578278430670615,0.4480982125975783,0.46542962604094634,0.5864432926840566,0.554416111735717,0.32828762581341914,0.32549279209953796,0.45381328442724916,0.46200315062113584,True,True,True,True
